internal,where,title,when
"true","School of the Arts, Media, Performance & Design, York University","Digital Media Program Executive Committee","Fall 2014,Spring 2015,Fall 2015"
"true","School of the Arts, Media, Performance & Design, York University","Art & Technology New Program Committee","Fall 2016"
"true","School of the Arts, Media, Performance & Design, York University","Visual Art Gallery Committee","Fall 2016"
"true","School of the Arts, Media, Performance & Design, York University","Visual Art Studio Sector Committee","Fall 2015,Winter 2016,Fall 2016"
"true","School of the Arts, Media, Performance & Design, York University","Digital Media Graduate Program Proposal Committee","Spring 2015,Fall 2015"
"true","School of the Arts, Media, Performance & Design, York University","Research@AMPD (formerly FARGAC) Committee","Fall 2014,Fall 2015"
"true","School of the Arts, Media, Performance & Design, York University","Faculty Search Committee","Fall 2015"
"true","School of the Arts, Media, Performance & Design, York University","Intermedia program development committee/advisory council","Fall 2016,Winter 2017,Fall 2017,Winter 2018"
"true","School of the Arts, Media, Performance & Design, York University","Markham Center Campus Working Group","Winter 2016,Fall 2016,Winter 2017,Fall 2017"
"true","VPRI, York University","Strategic Research Plan Development Committee","Fall 2017"